Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",A* (misplacedTiles),True,22,8983,8847,0.21473121643066406
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",A* (euclideanDistance),True,22,331,356,0.015718698501586914
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",A* (manhattanDistance),True,22,203,207,0.008437156677246094
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",A* (rowColumnHeuristic),True,22,968,924,0.03106403350830078
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",A* (linearConflict),True,22,1176,1214,0.05731678009033203
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",DFS,False,0,18366,17447,10.00487232208252
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",BFS,False,0,688566,652367,10.001381158828735
"[2, 5, 0, 4, 7, 6, 1, 8, 9, 12, 3, 15, 13, 10, 14, 11]",UCS,False,0,687324,596979,10.009252786636353
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",A* (misplacedTiles),True,18,1356,1438,0.028376102447509766
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",A* (euclideanDistance),True,18,160,179,0.004805803298950195
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",A* (manhattanDistance),True,18,144,161,0.004004240036010742
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",A* (rowColumnHeuristic),True,18,358,393,0.010209083557128906
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",A* (linearConflict),True,18,153,165,0.008139610290527344
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",DFS,False,0,22893,21746,10.003540992736816
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",BFS,True,18,837534,790142,9.319852113723755
"[1, 2, 0, 4, 6, 7, 3, 8, 13, 9, 5, 10, 14, 11, 15, 12]",UCS,False,0,694383,600109,10.01154637336731
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",A* (misplacedTiles),True,20,4115,4102,0.06577754020690918
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",A* (euclideanDistance),True,20,585,594,0.016862154006958008
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",A* (manhattanDistance),True,20,505,507,0.012500524520874023
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",A* (rowColumnHeuristic),True,20,969,968,0.02228236198425293
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",A* (linearConflict),True,22,367,377,0.013005495071411133
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",DFS,False,0,22301,21187,10.014745473861694
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",BFS,False,0,887557,835972,10.006487369537354
"[5, 1, 2, 4, 7, 0, 6, 8, 10, 13, 3, 11, 9, 14, 15, 12]",UCS,False,0,650942,613291,10.000857591629028
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",A* (misplacedTiles),True,24,8724,8553,0.13777923583984375
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",A* (euclideanDistance),True,24,187,195,0.010034799575805664
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",A* (manhattanDistance),True,24,99,105,0.0028350353240966797
